f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,output
0.0,0.029412,0.0,0.0,0.050567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.333333,0.647059,0.25,0.0,0.31369,0.25,0.25,0.333333,0.333333,0.0,0.333333,0.0,0.053571,0.0,0.0,0.333333,0.0,0.0,1.0,0.0,1.0
0.666667,0.117647,0.0,0.111111,0.101574,0.25,0.5,0.333333,0.0,0.0,0.666667,0.0,0.535714,0.0,0.0,0.333333,0.333333,1.0,1.0,0.0,0.0
0.0,0.558824,0.25,0.222222,0.419941,0.25,0.5,0.333333,0.0,0.5,0.0,0.333333,0.464286,0.0,0.5,0.333333,0.0,1.0,1.0,0.0,0.0
0.0,0.294118,0.5,0.333333,0.254209,0.25,0.25,0.666667,0.0,0.0,0.0,0.666667,0.607143,0.0,0.5,0.0,0.0,1.0,1.0,0.0,1.0
0.666667,0.470588,0.25,0.111111,0.484483,0.0,0.25,0.333333,0.0,0.0,0.0,0.666667,0.285714,0.0,0.5,0.333333,0.333333,1.0,0.0,0.0,0.0
0.666667,0.294118,0.25,0.222222,0.142236,0.5,0.0,0.666667,0.0,0.0,0.0,0.333333,0.607143,0.0,0.0,0.333333,0.0,0.0,1.0,0.0,0.0
0.333333,0.470588,0.25,0.444444,0.368548,0.25,0.25,0.333333,0.0,0.0,0.333333,1.0,0.285714,0.0,1.0,0.333333,0.666667,0.0,0.0,0.0,0.0
0.666667,0.117647,0.25,0.0,0.154561,0.75,0.5,0.333333,0.666667,0.0,0.0,0.0,0.75,0.0,0.0,0.333333,0.333333,0.0,1.0,0.0,0.0
0.333333,0.382353,0.0,0.333333,0.274238,0.25,0.75,0.0,1.0,0.0,0.333333,1.0,0.160714,0.0,0.0,0.0,0.666667,0.0,1.0,0.0,1.0
0.333333,0.117647,0.25,0.333333,0.0575,0.25,1.0,0.666667,0.333333,0.0,1.0,1.0,0.107143,0.0,1.0,0.333333,0.0,0.0,1.0,0.0,1.0
0.0,0.647059,0.25,0.555556,0.223286,0.25,1.0,0.666667,0.333333,0.0,0.0,0.333333,0.089286,0.0,1.0,0.333333,0.0,0.0,1.0,0.0,1.0
0.333333,0.117647,0.25,0.0,0.072466,0.25,0.25,1.0,0.333333,0.0,1.0,1.0,0.053571,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0
0.0,0.294118,0.0,0.333333,0.052217,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.732143,0.0,0.0,0.0,0.333333,0.0,1.0,0.0,1.0
0.0,0.161765,0.25,0.333333,0.063442,0.25,0.25,0.333333,0.333333,0.0,0.0,1.0,0.160714,0.0,1.0,0.333333,0.0,0.0,1.0,0.0,0.0
0.0,0.294118,0.25,0.0,0.056784,1.0,0.25,0.0,0.333333,0.0,0.333333,1.0,0.232143,0.0,0.0,0.333333,0.333333,0.0,1.0,0.0,1.0
0.666667,0.294118,0.0,0.0,0.119621,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.607143,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.382353,0.75,0.555556,0.430395,0.0,1.0,0.333333,0.0,0.0,0.666667,1.0,0.107143,0.5,0.0,0.666667,0.0,0.0,1.0,0.0,0.0
0.333333,0.294118,0.25,0.444444,0.678387,0.25,0.0,0.0,0.333333,0.0,0.333333,0.666667,0.446429,0.0,0.5,0.333333,0.666667,0.0,0.0,0.0,1.0
0.666667,0.294118,0.25,0.0,0.174975,0.5,0.0,0.666667,0.0,0.0,0.333333,1.0,0.214286,0.0,0.0,0.333333,0.0,1.0,0.0,0.0,0.0
